Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,261.402985,264.034821,257.811432,258.523804,246.109955,1643094
2011-01-04,259.622040,261.402985,254.674973,257.346405,244.989105,2744823
2011-01-05,256.653809,259.226288,252.330063,253.764709,241.579391,1349274
2011-01-06,254.783813,257.445343,247.353317,249.144150,237.180679,1797029
2011-01-07,248.936386,250.113785,233.046402,235.381424,224.078842,4023045
2011-01-10,235.480362,238.794891,229.148117,233.155243,221.959564,3918630
2011-01-11,234.471161,237.261307,226.071045,229.603241,218.578125,3267840
2011-01-12,233.501526,241.307999,232.670425,240.704468,229.146286,4659256
2011-01-13,241.021072,246.363907,239.339066,244.513702,232.772614,3291986
2011-01-14,242.010483,242.584351,232.314240,233.224503,222.025482,2904948
2011-01-17,233.600479,235.480362,228.554474,233.541107,222.326904,2366149
2011-01-18,234.293060,238.953201,234.016022,237.231628,225.840195,2114379
2011-01-19,238.339767,238.844360,234.006134,236.182846,224.841766,1187926
2011-01-20,233.501526,238.329865,230.048477,236.608292,225.246811,1960040
2011-01-21,235.084595,238.052841,232.531906,235.124176,223.833954,1614345
2011-01-24,235.025223,237.063416,232.531906,235.084595,223.796265,1117440
2011-01-25,236.717133,237.063416,229.148117,230.592651,219.520020,1523736
2011-01-27,233.323441,237.300873,231.730484,236.321365,224.973633,1973957
2011-01-28,234.837234,234.886719,221.994659,226.714157,215.827759,2744773
2011-01-31,222.222229,229.167908,220.243393,227.218765,216.308136,1843147
2011-02-01,228.158707,228.653412,210.319580,211.496979,201.341278,6043672
2011-02-02,213.713272,222.805969,213.515381,219.817947,209.262695,3366171
2011-02-03,218.660339,229.939651,216.325317,228.782028,217.796326,3860050
2011-02-04,228.336792,235.084595,225.635696,227.485901,216.562439,3581193
2011-02-07,226.377762,229.395462,219.847626,226.753738,215.865433,4108005
2011-02-08,226.575638,228.930450,218.462448,220.263184,209.686554,3523578
2011-02-09,217.670914,221.321854,208.875031,213.188873,202.951950,3541482
2011-02-10,213.693481,221.034927,212.387451,218.244781,207.765076,3226427
2011-02-11,220.421494,230.770752,217.235580,226.506378,215.629959,4437038
2011-02-14,235.104385,241.664200,235.084595,239.190659,227.705154,3987585
2011-02-15,239.240128,246.957550,237.676865,244.949051,233.187042,4041713
2011-02-16,244.731369,246.957550,241.021072,245.067780,233.300064,2192920
2011-02-17,244.365295,248.540619,242.435928,247.511627,235.626556,1756637
2011-02-18,247.353317,248.936386,237.132675,237.845062,226.424164,3095056
2011-02-21,239.240128,239.240128,224.636383,229.929749,218.888947,3484802
2011-02-22,227.921249,228.297226,222.350845,225.061844,214.254791,2586613
2011-02-23,223.805283,230.137527,223.211639,226.476700,215.601700,2103943
2011-02-24,225.586227,225.922623,206.431183,209.409317,199.353851,4309998
